Categorie_evenements;Date début évènement;Commentaires
Circulation;2023-06-05;Fermeture nocturne du Boulevard périphérque Nord (entre porte Dauphine et porte de Bagnolet) pour travaux relatifs à la préparation des JOP2024.
Général;2019-12-05;Du 5 décembre 2019 au 19 janvier 2020 - Grève nationale interprofessionnelle dans les transports en commun
Général;2020-06-15;Fin du déconfinement à Paris
Général;2021-01-16;Mise en place d’un couvre-feu national de 18h à 6h
Général;2021-06-30;Fin du déconfinement
Circulation;2021-10-17;Fermeture des voies sur le tracé du Marathon de Paris
Stationnement;2022-01-25;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque de pollution aux PM10
Vélo et marche;2023-03-05;"Dans le cadre de l'opération ""Paris Respire"", ayant lieu notamment tous les premiers dimanche du mois, fermeture des 4 arrondissements centraux  à la circulation automobile (sauf riverains) de 10h à 18h."
Générale;2023-04-13;Journée de mobilisation contre la réforme des retraites
Circulation;2023-04-25;Le Boulevard périphérique a 50 ans.
Vélo et marche;2020-07-07;Journée de gratuité de la prestation Vélib' dans le cadre de l'opération « Au boulot Vélib' » visant à promouvoir son usage à Paris
Général;2020-07-10;Fin de l’état d’urgence sanitaire
Vélo et marche;2021-04-19;"Expérimentation réalisée dans 11 stations Velib' dites ""Station+"" (dont 8 à Paris) qui propose, quand les stations sont pleines, de fixer les vélos à un câble dédié installé sur des bornettes."
Général;2020-11-28;Allégement des mesures comprenant : la réouverture des commerces (hors bars et restaurants) et l'autorisation de déplacement dans un rayon de 20km
Général;2021-03-19;Instauration du 3ème confinement territorialisé dans 16 départements dont Paris
Vélo et marche;2021-09-19;"7ème édition de la journée ""Paris Respire sans voiture"""
Stationnement;2022-01-15;Mise en place de la gratuité du stationnement résidentiel en raison d'un risque de pollution aux PM10
Circulation;2022-03-26;Mise en place de la circulation différenciée en raison d'un épisode de pollution aux PM10 jusqu'au 29 mars 2022
Générale;2023-02-16;Journée de mobilisation contre la réforme des retraites
Général;2020-10-16;Instauration du couvre-feu de 21h à 6h
Général;2021-06-20;Fin du couvre feu
Stationnement;2023-01-05;Instauration d'une nouvelle tarification du stationnement payant dans les Bois de Vincennes et de Boulogne
Circulation;2023-04-02;Fermeture de voies composant l'itinéraire (nouveau...) du Marathon de Paris.
Circulation;2020-01-27;Prolongation de la loi expérimentant la circula- tion des 2-roues en interfiles (notamment en Île-de-France.)
Général;2020-05-11;Début du déconfinement à Paris
Circulation;2021-06-01;Extension de l'interdiction de circuler pour tous les véhicules catégorisés Non classés, ou portant une vignette Crit'Air 5 et Crit'Air 4 à l'ensemble de la ZFE Métropolitaine délimitée par l'A86 (A86 exclu). À Paris (où l'interdiction était en place  intra-muros depuis le 1er juillet 2019), le Bois de Boulogne, le Bois de Vincenne et le Boulevard périphérique sont désormais concernés.
Stationnement;2022-09-01;Entrée en vigueur du stationnement payant pour les 2-roues motorisés thermiques.
Générale;2023-01-31;Journée de mobilisation contre la réforme des retraites
Vélo et marche;2020-03-01;Première piétonnisation hebdomadaire des 4 arrondissements centraux
Vélo et marche;2020-07-03;Franchissement du million de passages à vélo enregistré par le Totem Rivoli
Général;2020-10-17;Mise en place du 2ème confinement allégé dans 19 départements dont Paris
Générale;2023-04-06;Journée de mobilisation contre la réforme des retraites
